Row	Hour	Genotype	Condition	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12
A	24	G130	STANDARD	1.30E+05	3.89E+06	1.01E+07	8.49E+05	7.22E+06	4.68E+05	9.64E+06	1.69E+05	9.05E+04	1.06E+07	2.90E+05	7.83E+06
B	24	G130	STANDARD	5.93E+06	1.18E+07	8.54E+06	5.82E+04	1.23E+07	1.51E+07	6.50E+06	3.69E+06	4.37E+04	5.63E+06	2.26E+06	2.33E+06
C	24	G130	STANDARD	7.67E+04	2.67E+06	2.81E+05	7.76E+04	1.15E+06	6.35E+06	1.22E+06	4.78E+04	6.28E+06	8.08E+06	3.07E+06	8.93E+06
D	24	G130	STANDARD	7.65E+06	2.93E+06	6.81E+06	1.61E+06	3.93E+04	4.62E+06	2.51E+06	6.60E+06	8.63E+06	2.71E+07	1.74E+06	6.38E+04
E	24	EMPTY	NONE	2.31E+04	2.27E+04	2.30E+04	1.62E+04	1.79E+04	2.61E+04	2.45E+04	3.34E+04	4.18E+04	5.05E+04	3.65E+04	1.63E+04
F	24	EMPTY	NONE	2.78E+03	6.69E+03	1.26E+04	1.01E+04	1.14E+04	7.03E+03	1.18E+04	1.31E+04	1.22E+04	1.08E+04	1.34E+04	6.77E+03
G	24	EMPTY	NONE	5.24E+03	6.86E+03	4.73E+03	4.29E+03	1.01E+04	5.47E+03	7.89E+03	6.71E+03	1.12E+04	9.90E+03	2.57E+03	5.55E+03
H	24	EMPTY	NONE	2.59E+03	-1.24E+03	-7.22E+02	-2.44E+03	7.09E+02	-3.57E+03	2.12E+03	2.90E+03	1.71E+03	7.02E+02	1.67E+03	6.66E+02
A	24	G130	AMP	1.42E+05	4.51E+06	3.21E+06	1.80E+05	2.32E+06	9.47E+05	8.68E+06	2.82E+06	1.26E+06	3.35E+06	1.36E+05	2.70E+06
B	24	G130	AMP	5.86E+06	4.06E+06	8.42E+05	3.24E+04	3.75E+06	7.02E+06	1.31E+05	8.26E+05	3.53E+04	1.26E+07	3.18E+06	7.61E+06
