Well	CFUs	Hour	Fly1	Fly2	Fly3	Fly4	Fly5	Fly6	Fly7	Fly8	Fly9	Fly10	Fly11	Fly12	a_average
G	684172	7.5	3.79E+07	4.82E+07	2.33E+07	3.64E+07	2.77E+07	4.13E+07	4.49E+07	3.84E+07	4.57E+07	4.65E+07	4.89E+07	4.06E+07	4.00E+07
B	684172	8	6.64E+06	3.90E+06	5.45E+06	8.52E+06	4.68E+06	2.26E+06	4.35E+06	8.53E+06	3.48E+06	3.97E+06	2.46E+06	3.84E+06	4.84E+06
G	684172	8	3.34E+07	7.94E+07	2.13E+07	4.19E+07	3.75E+07	3.48E+07	4.41E+07	4.14E+07	4.75E+07	3.96E+07	5.22E+07	3.50E+07	4.23E+07
B	684172	8.5	3.43E+06	2.47E+06	3.21E+06	7.97E+06	2.76E+06	1.42E+06	3.29E+06	4.99E+06	3.85E+06	2.91E+06	1.33E+06	1.81E+06	3.29E+06
G	684172	8.5	2.00E+07	6.74E+07	1.69E+07	3.55E+07	3.27E+07	3.88E+07	3.73E+07	3.85E+07	3.97E+07	4.28E+07	4.84E+07	4.00E+07	3.82E+07
B	684172	9	5.12E+06	2.57E+06	2.69E+06	7.15E+06	3.37E+06	1.90E+06	2.91E+06	9.10E+06	3.32E+06	2.86E+06	1.31E+06	2.80E+06	3.76E+06
G	684172	9	3.29E+07	8.20E+07	2.22E+07	5.48E+07	4.25E+07	7.92E+07	3.69E+07	4.26E+07	4.30E+07	3.18E+07	5.69E+07	4.72E+07	4.77E+07
B	684172	9.5	5.12E+06	2.57E+06	2.69E+06	7.15E+06	3.37E+06	1.90E+06	2.91E+06	9.10E+06	3.32E+06	2.86E+06	1.31E+06	2.80E+06	3.76E+06
G	684172	9.5	3.29E+07	8.20E+07	2.22E+07	5.48E+07	4.25E+07	7.92E+07	3.69E+07	4.26E+07	4.30E+07	3.18E+07	5.69E+07	4.72E+07	4.77E+07
B	684172	10	3.18E+06	2.15E+06	1.86E+06	4.68E+06	2.55E+06	1.95E+06	2.80E+06	7.15E+06	3.35E+06	2.95E+06	1.26E+06	2.36E+06	3.02E+06
G	684172	10	3.50E+07	8.31E+07	1.04E+07	4.61E+07	6.50E+07	7.74E+07	3.53E+07	4.35E+07	4.21E+07	4.86E+07	5.11E+07	4.52E+07	4.86E+07
B	684172	10.5	2.50E+06	1.78E+06	1.82E+06	3.10E+06	2.09E+06	1.90E+06	3.00E+06	5.39E+06	3.07E+06	2.63E+06	1.27E+06	2.15E+06	2.56E+06
G	684172	10.5	6.80E+07	9.74E+07	1.48E+07	5.07E+07	6.64E+07	7.64E+07	3.61E+07	4.59E+07	4.13E+07	3.71E+07	4.34E+07	5.30E+07	5.25E+07
B	684172	11	1.82E+06	1.42E+06	1.35E+06	3.66E+06	1.85E+06	1.66E+06	2.39E+06	4.22E+06	2.90E+06	2.30E+06	1.13E+06	1.94E+06	2.22E+06
G	684172	11	8.82E+07	9.26E+07	1.20E+07	4.36E+07	6.08E+07	6.96E+07	3.27E+07	4.95E+07	3.44E+07	3.25E+07	4.20E+07	4.87E+07	5.05E+07
B	684172	11.5	1.01E+06	6.72E+05	9.14E+05	1.09E+06	1.14E+06	1.21E+06	1.83E+06	2.52E+06	8.11E+05	1.84E+06	4.77E+05	1.44E+06	1.25E+06
G	684172	11.5	4.96E+07	7.31E+07	1.42E+07	2.76E+07	3.62E+07	4.77E+07	2.77E+07	4.81E+07	2.31E+07	2.17E+07	3.08E+07	3.33E+07	3.61E+07
