PlateID	date	Fly 	Dilution 	Condition 	day	Counts	ilux	negative
A	1/27/21	1	10000	na	0	16	16	0
B	1/27/21	2	10000	na	0	6	6	0
C	1/27/21	3	10000	na	0	1	1	0
d	1/27/21	4	10000	na	0	4	4	0
e	1/27/21	1	10000	na	0	2	2	0
f	1/27/21	2	10000	na	0	5	5	0
g	1/27/21	3	10000	na	0	3	3	0
h	1/27/21	4	10000	na	0	2	2	0
i	1/28/21	1	10000	amp	1	4	4	0
j	1/28/21	2	10000	amp	1	3	3	0
k	1/28/21	3	10000	amp	1	1	1	0
l	1/28/21	4	10000	amp	1	0	0	0
m	1/28/21	1	10000	control	1	7	7	0
n	1/28/21	2	10000	control	1	2	2	0
o	1/28/21	3	10000	control	1	3	3	0
p	1/28/21	4	10000	control	1	0	0	0
q	1/28/21	1	1000	amp	1	22	22	0
r	1/28/21	2	1000	amp	1	7	7	0
s	1/28/21	3	1000	amp	1	10	10	0
t	1/28/21	4	1000	amp	1	17	17	0
u	1/28/21	1	1000	control	1	33	33	0
v	1/28/21	2	1000	control	1	15	15	0
w	1/28/21	3	1000	control	1	16	16	0
x	1/28/21	4	1000	control	1	19	19	0
y	1/29/21	1	1000	amp	2	8	7	1
z	1/29/21	2	1000	amp	2	6	6	0
aa	1/29/21	3	1000	amp	2	10	10	0
ab	1/29/21	4	1000	amp	2	10	10	0
ac	1/29/21	1	1000	control	2	18	18	0
ad	1/29/21	2	1000	control	2	9	9	0
ae	1/29/21	3	1000	control	2	1	1	0
Af	1/29/21	4	1000	control	2	21	21	0
ag	1/30/21	1	1000	amp	3	9	9	0
ah	1/30/21	2	1000	amp	3	4	4	0
ai	1/30/21	3	1000	amp	3	3	3	0
aj	1/30/21	4	1000	amp	3	6	6	0
ak	1/30/21	1	1000	control	3	8	8	0
al	1/30/21	2	1000	control	3	3	3	0
am	1/30/21	3	1000	control	3	4	4	0
an	1/30/21	4	1000	control	3	3	3	0
ao	2/1/21	1	100	amp	5	44	44	0
ap	2/1/21	2	100	amp	5	28	26	2
aq	2/1/21	3	100	amp	5	18	17	1
ar	2/1/21	4	100	amp	5	40	40	0
as	2/1/21	1	100	control	5	45	45	0
at	2/1/21	2	100	control	5	18	16	2
au	2/1/21	3	100	control	5	74	70	4
av	2/1/21	4	100	control	5	43	42	1
aw	1/31/21	1	1000	amp	4	6	5	1
ax	1/31/21	2	1000	amp	4	3	3	0
ay	1/31/21	3	1000	amp	4	3	3	0
az	1/31/21	4	1000	amp	4	1	1	0
ba	1/31/21	1	1000	control	4	8	8	0
bb	1/31/21	2	1000	control	4	3	3	0
bc	1/31/21	3	1000	control	4	3	3	0
bd	1/31/21	4	1000	control	4	8	8	0
be	1/31/21	1	100	amp	4	22	22	0
bf	1/31/21	2	100	amp	4	18	18	0
bg	1/31/21	3	100	amp	4	16	16	0
bh	1/31/21	4	100	amp	4	7	7	0
bi	1/31/21	1	100	control	4	98	97	1
bj	1/31/21	2	100	control	4	32	32	0
bk	1/31/21	3	100	control	4	25	25	0
bl	1/31/21	4	100	control	4	26	26	0
bm	1/30/21	1	100	amp	3	96	94	2
bn	1/30/21	2	100	amp	3	35	35	0
bo	1/30/21	3	100	amp	3	31	29	2
bp	1/30/21	4	100	amp	3	32	32	0
bq	1/30/21	1	100	control	3	35	35	0
br	1/30/21	2	100	control	3	50	50	0
bs	1/30/21	3	100	control	3	60	59	1
bt	1/30/21	4	100	control	3	71	71	0
bu	1/29/21	1	100	amp	2	69	69	0
bv	1/29/21	2	100	amp	2	92	92	0
bw	1/29/21	3	100	amp	2	85	84	1
bx	1/29/21	4	100	amp	2	41	41	0
by	1/29/21	1	100	control	2	182	182	0
bz	1/29/21	2	100	control	2	69	67	2
ca	1/29/21	3	100	control	2	54	54	0
cb	1/29/21	4	100	control	2	146	146	0
cc	1/28/21	1	100	amp	1	175	175	0
cd	1/28/21	2	100	amp	1	114	114	0
ce	1/28/21	3	100	amp	1	113	113	0
cf	1/28/21	4	100	amp	1	82	82	0
cg	1/28/21	1	100	control	1	358	358	0
ch	1/28/21	2	100	control	1	136	136	0
ci	1/28/21	3	100	control	1	129	129	0
cj	1/28/21	4	100	control	1	144	144	0
ck	1/27/21	1	1000	na	0	162	162	0
cl	1/27/21	2	1000	na	0	51	51	0
cm	1/27/21	3	1000	na	0	41	41	0
cn	1/27/21	4	1000	na	0	48	48	0
co	1/27/21	1	1000	na	0	40	40	0
cp	1/27/21	2	1000	na	0	74	74	0
cq	1/27/21	3	1000	na	0	40	40	0
cr	1/27/21	4	1000	na	0	40	40	0
